node_id,time_ms,slot_idx,delivered
10,7673,2,True
4,7674,3,True
1,7690,5,True
2,7735,1,True
3,7735,1,True
5,7743,2,True
4,7759,4,True
1,7804,0,True
10,7820,2,True
2,7820,2,True
3,7828,3,True
5,7836,4,True
0,7836,4,True
4,7852,6,True
5,7913,4,True
1,7921,5,True
3,7945,8,True
0,7945,8,True
10,7945,8,True
3,7966,1,True
5,7998,5,True
11,7998,5,True
7,7998,5,True
4,8006,6,True
8,8022,8,True
3,8051,1,True
8,8144,2,True
5,8160,4,True
11,8168,5,True
2,8192,8,True
7,8213,1,True
8,8261,7,True
3,8269,8,True
7,8290,1,True
3,8290,1,True
9,8292,1,True
4,8314,4,True
6,8338,7,True
9,8407,6,True
5,8415,7,True
2,8436,0,True
7,8452,2,True
6,8460,3,True
4,8468,4,True
1,8468,4,True
0,8476,5,True
3,8492,7,True
0,8505,0,True
9,8505,0,True
1,8513,1,True
11,8513,1,True
10,8513,1,True
7,8561,7,True
6,8590,1,True
7,8606,3,True
5,8622,5,True
3,8622,5,True
11,8630,6,True
4,8638,7,True
2,8715,6,True
10,8739,9,True
4,8752,0,True
10,8792,5,True
3,8845,1,True
7,8845,1,True
4,8861,3,True
2,8893,7,True
8,8901,8,True
5,8914,0,True
3,8930,2,True
8,8970,7,True
7,8978,8,True
3,9047,7,True
7,9076,1,True
4,9084,2,True
5,9108,5,True
3,9137,0,True
4,9137,0,True
5,9137,0,True
0,9180,5,True
0,9206,1,True
3,9206,1,True
7,9238,5,True
1,9267,1,True
6,9267,1,True
9,9283,3,True
7,9283,3,True
5,9307,6,True
5,9328,1,True
1,9397,2,True
6,9405,3,True
11,9413,4,True
7,9413,4,True
9,9421,5,True
10,9429,6,True
11,9442,0,True
9,9442,0,True
4,9450,1,True
10,9511,0,True
4,9519,1,True
6,9527,2,True
1,9535,3,True
8,9551,5,True
11,9559,6,True
5,9559,6,True
2,9580,0,True
5,9604,3,True
7,9620,5,True
7,9673,2,True
10,9681,3,True
5,9697,5,True
2,9705,6,True
3,9713,7,True
4,9750,2,True
8,9782,6,True
5,9819,1,True
8,9843,4,True
4,9843,4,True
0,9851,5,True
2,9867,7,True
4,9912,4,True
7,9936,7,True
3,9936,7,True
9,9973,3,True
0,9981,4,True
4,9989,5,True
7,9997,6,True
5,10005,7,True
9,10042,3,True
2,10050,4,True
3,10050,4,True
0,10066,6,True
4,10087,0,True
3,10095,1,True
11,10119,4,True
7,10143,7,True
9,10180,3,True
3,10212,7,True
6,10212,7,True
7,10212,7,True
11,10225,0,True
6,10265,5,True
4,10281,7,True
3,10294,0,True
7,10302,1,True
6,10318,3,True
1,10334,5,True
10,10334,5,True
11,10342,6,True
8,10363,0,True
5,10411,6,True
8,10448,1,True
3,10480,5,True
10,10504,8,True
1,10525,1,True
3,10533,2,True
8,10541,3,True
5,10618,4,True
10,10618,4,True
4,10626,5,True
7,10634,6,True
3,10634,6,True
0,10642,7,True
3,10687,4,True
1,10724,0,True
4,10780,7,True
5,10801,1,True
0,10809,2,True
1,10825,4,True
3,10841,6,True
4,10854,0,True
7,10878,3,True
3,10931,2,True
5,10939,3,True
9,10955,5,True
9,10984,1,True
4,10992,2,True
0,11000,3,True
4,11061,3,True
7,11061,3,True
3,11069,4,True
4,11106,1,True
2,11106,1,True
7,11122,3,True
5,11130,4,True
6,11146,6,True
4,11175,2,True
7,11183,3,True
2,11220,0,True
3,11236,2,True
11,11252,4,True
5,11260,5,True
6,11289,1,True
7,11297,2,True
2,11321,5,True
4,11329,6,True
3,11329,6,True
8,11350,1,True
6,11382,5,True
2,11403,0,True
1,11419,2,True
7,11419,2,True
3,11427,3,True
8,11443,5,True
5,11451,6,True
3,11512,6,True
10,11557,3,True
0,11573,5,True
4,11573,5,True
9,11573,5,True
3,11581,6,True
11,11602,1,True
8,11610,2,True
4,11618,3,True
7,11626,4,True
3,11634,5,True
5,11634,5,True
7,11655,0,True
0,11663,1,True
3,11663,1,True
11,11663,1,True
9,11703,6,True
11,11732,1,True
4,11740,2,True
9,11748,3,True
3,11756,4,True
10,11764,5,True
5,11772,6,True
1,11825,3,True
4,11833,4,True
7,11865,8,True
5,11873,9,True
1,11886,0,True
5,11894,1,True
10,11910,3,True
3,11971,0,True
10,11987,2,True
5,12003,4,True
5,12048,0,True
4,12048,0,True
7,12064,2,True
6,12072,3,True
0,12096,6,True
0,12125,0,True
5,12133,1,True
7,12157,4,True
4,12165,5,True
2,12181,7,True
6,12202,0,True
4,12202,0,True
3,12210,1,True
2,12210,1,True
5,12210,1,True
7,12218,2,True
2,12287,1,True
8,12319,5,True
8,12428,8,True
5,12428,8,True
7,12497,7,True
3,12497,7,True
8,12510,0,True
11,12526,2,True
3,12526,2,True
9,12542,4,True
1,12542,4,True
3,12587,2,True
4,12603,4,True
0,12674,5,True
7,12680,6,True
3,12693,0,True
0,12717,3,True
9,12725,4,True
1,12725,4,True
5,12741,6,True
5,12762,1,True
10,12762,1,True
11,12778,3,True
10,12839,3,True
11,12839,3,True
3,12847,4,True
6,12855,5,True
2,12884,1,True
3,12892,2,True
1,12900,3,True
6,12908,4,True
10,12916,5,True
7,12916,5,True
11,12924,6,True
2,12945,1,True
5,12961,3,True
9,12969,4,True
1,12993,7,True
3,13006,0,True
5,13014,1,True
4,13030,3,True
8,13054,6,True
6,13054,6,True
9,13070,8,True
4,13091,1,True
2,13115,4,True
7,13123,5,True
3,13147,8,True
8,13176,2,True
5,13176,2,True
7,13184,3,True
0,13253,2,True
3,13277,5,True
5,13277,5,True
7,13293,7,True
8,13293,7,True
3,13314,0,True
4,13322,1,True
5,13378,8,True
0,13391,0,True
4,13415,3,True
10,13422,3,True
5,13500,4,True
10,13508,5,True
4,13524,7,True
11,13524,7,True
7,13561,2,True
0,13561,2,True
4,13569,3,True
11,13601,7,True
6,13630,1,True
1,13646,3,True
3,13654,4,True
7,13662,5,True
5,13678,7,True
6,13699,0,True
5,13731,4,True
4,13755,7,True
1,13763,8,True
11,13763,8,True
7,13763,8,True
1,13800,3,True
5,13800,3,True
9,13824,6,True
9,13877,3,True
3,13901,6,True
7,13909,7,True
2,13917,8,True
5,13930,0,True
2,13938,1,True
4,13962,4,True
3,14047,5,True
8,14055,6,True
9,14071,8,True
5,14100,2,True
4,14100,2,True
8,14124,5,True
3,14132,6,True
5,14161,1,True
3,14169,2,True
10,14222,0,True
7,14230,1,True
8,14262,5,True
5,14262,5,True
4,14278,7,True
7,14299,1,True
4,14347,7,True
0,14360,0,True
4,14376,2,True
1,14396,4,True
7,14400,5,True
6,14400,5,True
3,14416,7,True
5,14416,7,True
4,14429,0,True
0,14429,0,True
10,14453,3,True
1,14453,3,True
11,14469,5,True
2,14477,6,True
6,14485,7,True
0,14506,1,True
7,14522,3,True
2,14522,3,True
11,14530,4,True
6,14562,8,True
9,14575,0,True
4,14607,4,True
3,14631,7,True
3,14668,1,True
5,14668,1,True
9,14716,7,True
10,14745,0,True
3,14753,1,True
5,14870,6,True
7,14878,7,True
4,14891,0,True
3,14891,0,True
8,14923,4,True
11,14923,4,True
9,14952,0,True
3,14952,0,True
5,14960,1,True
7,14960,1,True
11,14976,3,True
10,15000,6,True
