time_ms,node_id,rssi_dbm,collided
798,4,-29.25934819085409,False
1080,4,-29.25934819085409,False
1234,5,-31.894088462747455,False
1282,4,-29.25934819085409,False
1319,5,-31.894088462747455,False
1388,4,-29.25934819085409,False
1404,5,-31.894088462747455,False
1412,7,-14.6252619660141,False
1473,0,-51.50617211780494,False
1481,9,-63.6548145942005,False
1481,8,-49.23720914934826,False
1489,3,-17.283447100014683,False
1505,1,-66.72139026941323,False
1534,3,-17.283447100014683,False
1534,5,-31.894088462747455,False
1542,4,-29.25934819085409,False
1558,2,-57.08267569168619,False
1558,9,-63.6548145942005,False
1566,7,-14.6252619660141,False
1587,3,-17.283447100014683,False
1587,10,-65.6284263160874,False
1603,7,-14.6252619660141,False
1603,1,-66.72139026941323,False
1611,4,-29.25934819085409,False
1656,4,-29.25934819085409,False
1664,10,-65.6284263160874,False
1680,1,-66.72139026941323,False
1680,7,-14.6252619660141,False
1688,11,-52.84282551013513,False
1709,10,-65.6284263160874,False
1709,11,-52.84282551013513,False
1757,7,-14.6252619660141,True
1757,3,-17.283447100014683,True
1765,6,-51.5901142214492,True
1765,4,-29.25934819085409,False
1765,0,-51.50617211780494,True
1765,2,-57.08267569168619,True
1794,8,-49.23720914934826,False
1826,3,-17.283447100014683,False
1834,11,-52.84282551013513,False
1842,2,-57.08267569168619,False
1842,0,-51.50617211780494,False
1855,7,-14.6252619660141,False
1903,3,-17.283447100014683,False
1956,6,-51.5901142214492,False
1980,3,-17.283447100014683,False
2049,3,-17.283447100014683,False
2049,5,-31.894088462747455,False
2049,8,-49.23720914934826,False
2086,5,-31.894088462747455,False
2134,3,-17.283447100014683,True
2134,4,-29.25934819085409,True
2134,7,-14.6252619660141,True
2155,8,-49.23720914934826,False
2187,6,-51.5901142214492,False
2187,7,-14.6252619660141,False
2232,5,-31.894088462747455,False
2248,4,-29.25934819085409,False
2293,7,-14.6252619660141,False
2301,3,-17.283447100014683,False
2301,9,-63.6548145942005,False
2378,4,-29.25934819085409,False
2386,6,-51.5901142214492,False
2423,11,-52.84282551013513,False
2431,9,-63.6548145942005,False
2439,1,-66.72139026941323,False
2439,6,-51.5901142214492,False
2447,4,-29.25934819085409,False
2463,10,-65.6284263160874,False
2484,3,-17.283447100014683,True
2484,7,-14.6252619660141,True
2500,5,-31.894088462747455,False
2508,10,-65.6284263160874,False
2516,2,-57.08267569168619,False
2524,0,-51.50617211780494,False
2561,0,-51.50617211780494,False
2569,1,-66.72139026941323,False
2569,3,-17.283447100014683,False
2569,5,-31.894088462747455,False
2577,11,-52.84282551013513,False
2593,7,-14.6252619660141,False
2622,10,-65.6284263160874,False
2646,1,-66.72139026941323,False
2654,7,-14.6252619660141,False
2662,0,-51.50617211780494,False
2683,5,-31.894088462747455,False
2699,11,-52.84282551013513,False
2776,3,-17.283447100014683,False
2784,2,-57.08267569168619,False
2792,9,-63.6548145942005,False
2800,7,-14.6252619660141,False
2824,5,-31.894088462747455,True
2824,8,-49.23720914934826,True
2824,4,-29.25934819085409,True
2845,8,-49.23720914934826,False
2877,9,-63.6548145942005,False
2901,7,-14.6252619660141,False
2930,2,-57.08267569168619,False
2930,4,-29.25934819085409,False
2970,5,-31.894088462747455,False
2978,3,-17.283447100014683,True
2978,7,-14.6252619660141,True
2999,4,-29.25934819085409,False
3015,7,-14.6252619660141,False
3023,3,-17.283447100014683,False
3116,4,-29.25934819085409,False
3145,3,-17.283447100014683,False
3193,4,-29.25934819085409,False
3201,6,-51.5901142214492,False
3238,3,-17.283447100014683,False
3238,4,-29.25934819085409,False
3238,6,-51.5901142214492,False
3254,5,-31.894088462747455,False
3275,5,-31.894088462747455,False
3283,6,-51.5901142214492,False
3291,4,-29.25934819085409,False
3315,1,-66.72139026941323,False
3323,10,-65.6284263160874,False
3323,0,-51.50617211780494,False
3344,0,-51.50617211780494,False
3352,1,-66.72139026941323,False
3392,4,-29.25934819085409,False
3405,11,-52.84282551013513,False
3445,10,-65.6284263160874,False
3453,8,-49.23720914934826,False
3461,5,-31.894088462747455,False
3474,7,-14.6252619660141,False
3490,2,-57.08267569168619,False
3490,8,-49.23720914934826,False
3490,10,-65.6284263160874,False
3506,11,-52.84282551013513,False
3522,5,-31.894088462747455,False
3543,3,-17.283447100014683,False
3559,7,-14.6252619660141,False
3575,9,-63.6548145942005,False
3620,11,-52.84282551013513,False
3628,4,-29.25934819085409,False
3652,3,-17.283447100014683,False
3697,2,-57.08267569168619,False
3705,3,-17.283447100014683,False
3729,4,-29.25934819085409,False
3774,3,-17.283447100014683,False
3790,5,-31.894088462747455,False
3790,7,-14.6252619660141,False
3851,9,-63.6548145942005,False
3859,6,-51.5901142214492,False
3891,1,-66.72139026941323,False
3899,0,-51.50617211780494,False
3899,2,-57.08267569168619,False
3912,5,-31.894088462747455,False
3920,7,-14.6252619660141,False
3944,0,-51.50617211780494,False
3944,4,-29.25934819085409,False
3997,9,-63.6548145942005,False
4005,6,-51.5901142214492,False
4029,7,-14.6252619660141,False
4066,2,-57.08267569168619,False
