bs_id,time_ms,node_id,rssi_dbm,expected_node,collided,matched,subcarrier_shift
0,17185,0,-45.708420037987366,any,False,True,0
0,17255,2,-68.68949002835542,any,False,True,0
0,17320,2,-68.68949002835542,any,False,True,0
0,17670,0,-45.708420037987366,any,False,True,0
0,17755,2,-68.68949002835542,any,False,True,0
0,17870,2,-68.68949002835542,any,False,True,0
0,18170,0,-45.708420037987366,any,False,True,0
0,18235,1,-49.74080892192356,any,False,True,0
0,18435,2,-68.68949002835542,any,False,True,0
0,18485,2,-68.68949002835542,any,False,True,0
0,18655,0,-45.708420037987366,any,False,True,0
0,18885,2,-68.68949002835542,any,False,True,0
0,18920,2,-68.68949002835542,any,False,True,0
0,19155,0,-45.708420037987366,any,False,True,0
0,19255,2,-68.68949002835542,any,False,True,0
0,19405,1,-49.74080892192356,any,False,True,0
0,19405,2,-68.68949002835542,any,False,True,0
0,19670,0,-45.708420037987366,any,False,True,0
0,19985,2,-68.68949002835542,any,False,True,0
